model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__l1_ratio,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,param_class_weight,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split
Logistic Regression,0.01959567070007324,0.01529676703454243,0.05169367790222168,0.03231727598452154,10.0,,0.0,"{'model__C': 10.0, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.9140625,0.87109375,0.8984375,0.87890625,0.8828125,0.8890625,0.015349127112803517,5,0.9274193548387096,0.9130434782608695,0.8863636363636364,0.9008264462809917,0.9224137931034483,0.9100133417695311,0.01489717977275132,13,0.8984375,0.8203125,0.9140625,0.8515625,0.8359375,0.8640625,0.03617449032121946,1,0.9126984126984127,0.8641975308641975,0.9,0.8755020080321285,0.8770491803278688,0.8858894263845215,0.01774495295328049,3,0.9686279296875,0.938812255859375,0.955535888671875,0.927490234375,0.948272705078125,0.947747802734375,0.014050783468611635,15,,,,,
Logistic Regression,0.00866541862487793,0.0026776573495984027,0.0295867919921875,0.013137588434254195,10.0,,1.0,"{'model__C': 10.0, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.9140625,0.87109375,0.8984375,0.87890625,0.8828125,0.8890625,0.015349127112803517,5,0.9274193548387096,0.9130434782608695,0.8863636363636364,0.9008264462809917,0.9224137931034483,0.9100133417695311,0.01489717977275132,13,0.8984375,0.8203125,0.9140625,0.8515625,0.8359375,0.8640625,0.03617449032121946,1,0.9126984126984127,0.8641975308641975,0.9,0.8755020080321285,0.8770491803278688,0.8858894263845215,0.01774495295328049,3,0.9686279296875,0.938812255859375,0.955535888671875,0.92755126953125,0.948272705078125,0.947760009765625,0.014033194311639597,9,,,,,
Logistic Regression,0.01418442726135254,0.009992572156506868,0.04200105667114258,0.026228834232382897,10.0,balanced,0.0,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",0.9140625,0.87109375,0.8984375,0.87890625,0.8828125,0.8890625,0.015349127112803517,5,0.9274193548387096,0.9130434782608695,0.8863636363636364,0.9008264462809917,0.9224137931034483,0.9100133417695311,0.01489717977275132,13,0.8984375,0.8203125,0.9140625,0.8515625,0.8359375,0.8640625,0.03617449032121946,1,0.9126984126984127,0.8641975308641975,0.9,0.8755020080321285,0.8770491803278688,0.8858894263845215,0.01774495295328049,3,0.9686279296875,0.938812255859375,0.955535888671875,0.927490234375,0.948272705078125,0.947747802734375,0.014050783468611635,15,,,,,
Logistic Regression,0.009786033630371093,0.0032880834010675757,0.03170633316040039,0.013313524562215242,10.0,balanced,1.0,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 1.0}",0.9140625,0.87109375,0.8984375,0.87890625,0.8828125,0.8890625,0.015349127112803517,5,0.9274193548387096,0.9130434782608695,0.8863636363636364,0.9008264462809917,0.9224137931034483,0.9100133417695311,0.01489717977275132,13,0.8984375,0.8203125,0.9140625,0.8515625,0.8359375,0.8640625,0.03617449032121946,1,0.9126984126984127,0.8641975308641975,0.9,0.8755020080321285,0.8770491803278688,0.8858894263845215,0.01774495295328049,3,0.9686279296875,0.938812255859375,0.955535888671875,0.92755126953125,0.948272705078125,0.947760009765625,0.014033194311639597,9,,,,,
Logistic Regression,0.01270279884338379,0.009387176362953406,0.028953742980957032,0.00831057762759755,100.0,,0.0,"{'model__C': 100.0, 'model__class_weight': None, 'model__l1_ratio': 0.0}",0.9140625,0.87109375,0.8984375,0.87890625,0.8828125,0.8890625,0.015349127112803517,5,0.9274193548387096,0.9130434782608695,0.8863636363636364,0.9008264462809917,0.9224137931034483,0.9100133417695311,0.01489717977275132,13,0.8984375,0.8203125,0.9140625,0.8515625,0.8359375,0.8640625,0.03617449032121946,1,0.9126984126984127,0.8641975308641975,0.9,0.8755020080321285,0.8770491803278688,0.8858894263845215,0.01774495295328049,3,0.9686279296875,0.938934326171875,0.955474853515625,0.927490234375,0.948272705078125,0.947760009765625,0.014028601054414057,9,,,,,
Logistic Regression,0.01119823455810547,0.003517436928841263,0.038115310668945315,0.009079562583949909,100.0,,1.0,"{'model__C': 100.0, 'model__class_weight': None, 'model__l1_ratio': 1.0}",0.9140625,0.87109375,0.8984375,0.87890625,0.8828125,0.8890625,0.015349127112803517,5,0.9274193548387096,0.9130434782608695,0.8863636363636364,0.9008264462809917,0.9224137931034483,0.9100133417695311,0.01489717977275132,13,0.8984375,0.8203125,0.9140625,0.8515625,0.8359375,0.8640625,0.03617449032121946,1,0.9126984126984127,0.8641975308641975,0.9,0.8755020080321285,0.8770491803278688,0.8858894263845215,0.01774495295328049,3,0.9686279296875,0.938934326171875,0.955474853515625,0.927490234375,0.948272705078125,0.947760009765625,0.014028601054414057,9,,,,,
Logistic Regression,0.013703346252441406,0.006391063384349043,0.03282995223999023,0.009729074834911094,100.0,balanced,0.0,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.0}",0.9140625,0.87109375,0.8984375,0.87890625,0.8828125,0.8890625,0.015349127112803517,5,0.9274193548387096,0.9130434782608695,0.8863636363636364,0.9008264462809917,0.9224137931034483,0.9100133417695311,0.01489717977275132,13,0.8984375,0.8203125,0.9140625,0.8515625,0.8359375,0.8640625,0.03617449032121946,1,0.9126984126984127,0.8641975308641975,0.9,0.8755020080321285,0.8770491803278688,0.8858894263845215,0.01774495295328049,3,0.9686279296875,0.938934326171875,0.955474853515625,0.927490234375,0.948272705078125,0.947760009765625,0.014028601054414057,9,,,,,
Logistic Regression,0.01753125190734863,0.005783883331421307,0.03160648345947266,0.007596586979427941,100.0,balanced,1.0,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__l1_ratio': 1.0}",0.9140625,0.87109375,0.8984375,0.87890625,0.8828125,0.8890625,0.015349127112803517,5,0.9274193548387096,0.9130434782608695,0.8863636363636364,0.9008264462809917,0.9224137931034483,0.9100133417695311,0.01489717977275132,13,0.8984375,0.8203125,0.9140625,0.8515625,0.8359375,0.8640625,0.03617449032121946,1,0.9126984126984127,0.8641975308641975,0.9,0.8755020080321285,0.8770491803278688,0.8858894263845215,0.01774495295328049,3,0.9686279296875,0.938934326171875,0.955474853515625,0.927490234375,0.948272705078125,0.947760009765625,0.014028601054414057,9,,,,,
Decision Tree,0.015400171279907227,0.00838663264215216,0.029898452758789062,0.006786691842876667,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.88671875,0.875,0.87109375,0.8515625,0.8671875,0.8703125,0.011428702217443588,179,0.9304347826086956,0.9210526315789473,0.8925619834710744,0.8947368421052632,0.9122807017543859,0.9102133883036734,0.01470893158675421,171,0.8359375,0.8203125,0.84375,0.796875,0.8125,0.821875,0.016682934768798924,161,0.8806584362139918,0.8677685950413223,0.8674698795180723,0.8429752066115702,0.859504132231405,0.8636752499232723,0.012373142854652798,179,0.91180419921875,0.9095458984375,0.912017822265625,0.871185302734375,0.9229736328125,0.90550537109375,0.01778437728399203,179,,gini,,1.0,2.0
Decision Tree,0.01602039337158203,0.006003236826874526,0.06047377586364746,0.04232031564659733,,,,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.90625,0.86328125,0.875,0.859375,0.8671875,0.87421875,0.016828640022295324,171,0.956140350877193,0.918918918918919,0.8870967741935484,0.9035087719298246,0.9122807017543859,0.9155891035347741,0.022909317304683742,153,0.8515625,0.796875,0.859375,0.8046875,0.8125,0.825,0.02548360379734389,151,0.9008264462809917,0.8535564853556485,0.873015873015873,0.8512396694214877,0.859504132231405,0.8676285212610813,0.018241426154809927,173,0.930267333984375,0.907958984375,0.923370361328125,0.8743896484375,0.920989990234375,0.911395263671875,0.019863737583076104,171,,gini,,1.0,5.0
